Date,Ticker,Closing Price,Dividend Amount
2020-01-02,MSFT,160.6199951171875,0.0
2020-01-03,MSFT,158.6199951171875,0.0
2020-01-06,MSFT,159.02999877929688,0.0
2020-01-07,MSFT,157.5800018310547,0.0
2020-01-08,MSFT,160.08999633789062,0.0
2020-01-09,MSFT,162.08999633789062,0.0
2020-01-10,MSFT,161.33999633789062,0.0
2020-01-13,MSFT,163.27999877929688,0.0
2020-01-14,MSFT,162.1300048828125,0.0
2020-01-15,MSFT,163.17999267578125,0.0
2020-01-16,MSFT,166.1699981689453,0.0
2020-01-17,MSFT,167.10000610351562,0.0
2020-01-21,MSFT,166.5,0.0
2020-01-22,MSFT,165.6999969482422,0.0
2020-01-23,MSFT,166.72000122070312,0.0
2020-01-24,MSFT,165.0399932861328,0.0
2020-01-27,MSFT,162.27999877929688,0.0
2020-01-28,MSFT,165.4600067138672,0.0
2020-01-29,MSFT,168.0399932861328,0.0
2020-01-30,MSFT,172.77999877929688,0.0
2020-01-31,MSFT,170.22999572753906,0.0
2020-02-03,MSFT,174.3800048828125,0.0
2020-02-04,MSFT,180.1199951171875,0.0
2020-02-05,MSFT,179.89999389648438,0.0
2020-02-06,MSFT,183.6300048828125,0.0
2020-02-07,MSFT,183.88999938964844,0.0
2020-02-10,MSFT,188.6999969482422,0.0
2020-02-11,MSFT,184.44000244140625,0.0
2020-02-12,MSFT,184.7100067138672,0.0
2020-02-13,MSFT,183.7100067138672,0.0
2020-02-14,MSFT,185.35000610351562,0.0
2020-02-18,MSFT,187.22999572753906,0.0
2020-02-19,MSFT,187.27999877929688,0.51
2020-02-20,MSFT,184.4199981689453,0.0
2020-02-21,MSFT,178.58999633789062,0.0
2020-02-24,MSFT,170.88999938964844,0.0
2020-02-25,MSFT,168.07000732421875,0.0
2020-02-26,MSFT,170.1699981689453,0.0
2020-02-27,MSFT,158.17999267578125,0.0
2020-02-28,MSFT,162.00999450683594,0.0
2020-03-02,MSFT,172.7899932861328,0.0
2020-03-03,MSFT,164.50999450683594,0.0
2020-03-04,MSFT,170.5500030517578,0.0
2020-03-05,MSFT,166.27000427246094,0.0
2020-03-06,MSFT,161.57000732421875,0.0
2020-03-09,MSFT,150.6199951171875,0.0
2020-03-10,MSFT,160.9199981689453,0.0
2020-03-11,MSFT,153.6300048828125,0.0
2020-03-12,MSFT,139.05999755859375,0.0
2020-03-13,MSFT,158.8300018310547,0.0
2020-03-16,MSFT,135.4199981689453,0.0
2020-03-17,MSFT,146.57000732421875,0.0
2020-03-18,MSFT,140.39999389648438,0.0
2020-03-19,MSFT,142.7100067138672,0.0
2020-03-20,MSFT,137.35000610351562,0.0
2020-03-23,MSFT,135.97999572753906,0.0
2020-03-24,MSFT,148.33999633789062,0.0
2020-03-25,MSFT,146.9199981689453,0.0
2020-03-26,MSFT,156.11000061035156,0.0
2020-03-27,MSFT,149.6999969482422,0.0
2020-03-30,MSFT,160.22999572753906,0.0
2020-03-31,MSFT,157.7100067138672,0.0
2020-04-01,MSFT,152.11000061035156,0.0
2020-04-02,MSFT,155.25999450683594,0.0
2020-04-03,MSFT,153.8300018310547,0.0
2020-04-06,MSFT,165.27000427246094,0.0
2020-04-07,MSFT,163.49000549316406,0.0
2020-04-08,MSFT,165.1300048828125,0.0
2020-04-09,MSFT,165.13999938964844,0.0
2020-04-13,MSFT,165.50999450683594,0.0
2020-04-14,MSFT,173.6999969482422,0.0
2020-04-15,MSFT,171.8800048828125,0.0
2020-04-16,MSFT,177.0399932861328,0.0
2020-04-17,MSFT,178.60000610351562,0.0
2020-04-20,MSFT,175.05999755859375,0.0
2020-04-21,MSFT,167.82000732421875,0.0
2020-04-22,MSFT,173.52000427246094,0.0
2020-04-23,MSFT,171.4199981689453,0.0
2020-04-24,MSFT,174.5500030517578,0.0
2020-04-27,MSFT,174.0500030517578,0.0
2020-04-28,MSFT,169.80999755859375,0.0
2020-04-29,MSFT,177.42999267578125,0.0
2020-04-30,MSFT,179.2100067138672,0.0
2020-05-01,MSFT,174.57000732421875,0.0
2020-05-04,MSFT,178.83999633789062,0.0
2020-05-05,MSFT,180.75999450683594,0.0
2020-05-06,MSFT,182.5399932861328,0.0
2020-05-07,MSFT,183.60000610351562,0.0
2020-05-08,MSFT,184.67999267578125,0.0
